"infinitive","english","present","simple_past","present_perfect","example"
"onderhandelen","to negotiate","onderhandel","onderhandelde","heb onderhandeld","We onderhandelen lang over de prijs."
"beïnvloeden","to influence","beïnvloed","beïnvloedde","heb beïnvloed","Reclame beïnvloedt ons gedrag enorm."
"ontwikkelen","to develop","ontwikkel","ontwikkelde","heb ontwikkeld","Het bedrijf ontwikkelt nieuwe producten."
"bevestigen","to confirm","bevestig","bevestigde","heb bevestigd","Ik bevestig de afspraak per mail."
"benadrukken","to emphasize","benadruk","benadrukte","heb benadrukt","Hij benadrukt het belang van veiligheid."
"beschouwen","to consider - to regard","beschouw","beschouwde","heb beschouwd","Ik beschouw hem als een goede vriend."
"beschrijven","to describe","beschrijf","beschreef","heb beschreven","Beschrijf de situatie even in detail."
"beoordelen","to assess - to judge","beoordeel","beoordeelde","heb beoordeeld","De docent beoordeelt alle essays zorgvuldig."
"samenwerken","to collaborate","werk samen","werkte samen","heb samengewerkt","We werken graag met andere collega's samen."
"toepassen","to apply","pas toe","paste toe","heb toegepast","Ik pas de nieuwe regels meteen toe."
"vermijden","to avoid","vermijd","vermeed","heb vermeden","Probeer onnodige stress zoveel mogelijk te vermijden."
"veroorzaken","to cause","veroorzaak","veroorzaakte","heb veroorzaakt","Roken veroorzaakt veel ernstige ziektes."
"voorkomen","to prevent","voorkom","voorkwam","heb voorkomen","We willen toekomstige ongelukken voorkomen."
"vaststellen","to establish - to determine","stel vast","stelde vast","heb vastgesteld","De arts stelt de juiste diagnose vast."
"verwerken","to process","verwerk","verwerkte","heb verwerkt","Ik verwerk de gegevens in een rapport."
"aanpassen","to adjust - to adapt","pas aan","paste aan","heb aangepast","Ik pas mijn planning aan het weer aan."
"overtuigen","to convince","overtuig","overtuigde","heb overtuigd","Hij overtuigt me van zijn gelijk."
"vertegenwoordigen","to represent","vertegenwoordig","vertegenwoordigde","heb vertegenwoordigd","Zij vertegenwoordigt het bedrijf op de beurs."
"verminderen","to reduce","verminder","verminderde","heb/ben verminderd","We verminderen het aantal fouten flink."
"vergroten","to enlarge - to increase","vergroot","vergrootte","heb vergroot","Goede voorbereiding vergroot de kans op succes."
"afhangen","to depend","hang af","hing af","heb afgehangen","Dat hangt helemaal van het weer af."
"bestaan","to exist","besta","bestond","heb bestaan","Dit bedrijf bestaat al honderd jaar."
"beschikken","to have at one's disposal","beschik","beschikte","heb beschikt","Ik beschik over voldoende tijd en geld."
"functioneren","to function","functioneer","functioneerde","heb gefunctioneerd","De oude machine functioneert nog prima."
"presteren","to perform","presteer","presteerde","heb gepresteerd","Hij presteert uitstekend op zijn werk."
"realiseren","to realize - to achieve","realiseer","realiseerde","heb gerealiseerd","Ik realiseer me het probleem nu pas."
"uitvoeren","to carry out - to execute","voer uit","voerde uit","heb uitgevoerd","We voeren het plan zorgvuldig uit."
"waarschuwen","to warn","waarschuw","waarschuwde","heb gewaarschuwd","Ik waarschuw je voor het grote gevaar."
"ondersteunen","to support","ondersteun","ondersteunde","heb ondersteund","Wij ondersteunen dit goede doel van harte."
"bekritiseren","to criticize","bekritiseer","bekritiseerde","heb bekritiseerd","De pers bekritiseert de minister streng."
"verantwoorden","to justify - to account for","verantwoord","verantwoordde","heb verantwoord","Hij moet zijn moeilijke keuze verantwoorden."
"bereiken","to reach - to achieve","bereik","bereikte","heb bereikt","Samen bereiken we ons grote doel."
"concluderen","to conclude","concludeer","concludeerde","heb geconcludeerd","Ik concludeer dat het systeem werkt."
"overwegen","to consider","overweeg","overwoog","heb overwogen","Ik overweeg serieus een nieuwe baan."
"toenemen","to increase","neem toe","nam toe","ben toegenomen","De werkdruk neemt de laatste tijd toe."
"afnemen","to decrease","neem af","nam af","ben/heb afgenomen","De interesse neemt langzaam maar zeker af."
"erkennen","to acknowledge","erken","erkende","heb erkend","Hij erkent eerlijk zijn eigen fouten."
"inschatten","to estimate","schat in","schatte in","heb ingeschat","Ik schat de kosten verkeerd in."
"verschijnen","to appear - to be published","verschijn","verscheen","ben verschenen","Het rapport verschijnt volgende maand."
"toekennen","to grant - to award","ken toe","kende toe","heb toegekend","De jury kent hem de eerste prijs toe."
