"infinitive","english","present","simple_past","present_perfect","example"
"wentelen","to wallow - to revolve","wentel","wentelde","heb/ben gewenteld","Hij wentelt zich in overdadige luxe."
"zwoegen","to toil - to labour","zwoeg","zwoegde","heb gezwoegd","De boer zwoegt de hele dag op het land."
"smachten","to yearn - to languish","smacht","smachtte","heb gesmacht","Zij smacht naar zijn aandacht en liefde."
"kwijnen","to languish - to wither","kwijn","kwijnde","heb/ben gekwijnd","De planten kwijnen in de donkere schaduw."
"gispen","to rebuke - to censure","gisp","gispte","heb gegispt","De strenge criticus gispt het slechte werk."
"hekelen","to criticize sharply","hekel","hekelde","heb gehekeld","De schrijver hekelt de heersende hypocrisie."
"laken","to condemn - to denounce","laak","laakte","heb gelaakt","Velen laken zijn schandalige gedrag openlijk."
"gewagen","to make mention of","gewaag","gewaagde","heb gewaagd","De oude kroniek gewaagt van grote rampen."
"vleien","to flatter","vlei","vleide","heb gevleid","Hij vleit haar met mooie, holle woorden."
"tergen","to torment - to provoke","terg","tergde","heb getergd","Het wrede kind tergt de oude hond."
"verguizen","to revile - to vilify","verguis","verguisde","heb verguisd","De pers verguist de gevallen held genadeloos."
"zwichten","to yield - to succumb","zwicht","zwichtte","ben gezwicht","Uiteindelijk zwicht hij voor de verleiding."
"dralen","to linger - to tarry","draal","draalde","heb gedraald","Zij draalt aarzelend bij de open deur."
"toeven","to stay - to linger","toef","toefde","heb getoefd","Wij toeven graag aan het stille strand."
"hunkeren","to crave - to long for","hunker","hunkerde","heb gehunkerd","Ik hunker naar rust en diepe stilte."
"wroeten","to root - to dig","wroet","wroette","heb gewroet","De mol wroet driftig in de moestuin."
"mijmeren","to muse - to daydream","mijmer","mijmerde","heb gemijmerd","Hij mijmert lang over vervlogen tijden."
"peinzen","to ponder","peins","peinsde","heb gepeinsd","Zij peinst over het onoplosbare raadsel."
"schromen","to hesitate - to scruple","schroom","schroomde","heb geschroomd","Hij schroomt niet om openlijk te liegen."
"verfoeien","to abhor - to detest","verfoei","verfoeide","heb verfoeid","Ik verfoei elke vorm van bittere onrecht."
"zinderen","to sizzle - to quiver","zinder","zinderde","heb gezinderd","De hete lucht zindert boven het asfalt."
"deugen","to be sound - to be proper","deug","deugde","heb gedeugd","Dit haastige plan deugt van geen kant."
"gloren","to dawn - to glimmer","gloor","gloorde","heb gegloord","In het oosten gloort de eerste dageraad."
"tanen","to wane - to fade","taan","taande","heb/ben getaand","Zijn ooit grote invloed begint te tanen."
"ontwaren","to discern - to perceive","ontwaar","ontwaarde","heb ontwaard","Ik ontwaar een schip aan de verre horizon."
"bezweren","to swear - to avert","bezweer","bezwoer","heb bezworen","Hij bezweert plechtig dat hij onschuldig is."
"verpozen","to relax - to take a rest","verpoos","verpoosde","heb verpoosd","Wij verpozen ons in de schaduwrijke tuin."
"kniezen","to mope - to fret","knies","kniesde","heb gekniesd","Hij kniest somber de hele dag thuis."
"soebatten","to plead - to coax","soebat","soebatte","heb gesoebat","Het kind soebat om nog meer snoep."
"raaskallen","to rave - to talk nonsense","raaskal","raaskalde","heb geraaskald","De zieke man raaskalt in zijn koorts."
"verzaken","to neglect - to renounce","verzaak","verzaakte","heb verzaakt","Hij verzaakt schaamteloos zijn heilige plicht."
"gedogen","to tolerate - to condone","gedoog","gedoogde","heb gedoogd","De overheid gedoogt deze omstreden praktijk."
"fnuiken","to thwart - to crush","fnuik","fnuikte","heb gefnuikt","De harde kritiek fnuikt zijn jonge ambitie."
"doorklieven","to cleave through","doorklief","doorkliefde","heb doorkliefd","Het scherpe schip doorklieft de hoge golven."
"wankelen","to totter - to waver","wankel","wankelde","heb/ben gewankeld","De dronken man wankelt over de straat."
"verwijlen","to linger - to abide","verwijl","verwijlde","heb verwijld","Mijn gedachten verwijlen voortdurend bij jou."
"kastijden","to chastise","kastijd","kastijdde","heb gekastijd","De strenge monnik kastijdt zijn eigen lichaam."
"zwalken","to drift - to roam","zwalk","zwalkte","heb/ben gezwalkt","Het stuurloze schip zwalkt op de woeste zee."
"monkelen","to smile slyly","monkel","monkelde","heb gemonkeld","Hij monkelt tevreden in zichzelf."
"kwelen","to warble - to croon","kweel","kweelde","heb gekweeld","De zanger kweelt een oud, weemoedig lied."
