"dutch","english","example"
"ingewikkeld","complicated","Deze regels zijn veel te ingewikkeld."
"duidelijk","clear","Zijn uitleg was heel duidelijk."
"onduidelijk","unclear","De instructies waren erg onduidelijk."
"verantwoordelijk","responsible","Hij is verantwoordelijk voor het hele project."
"betrouwbaar","reliable","Onze leverancier is altijd heel betrouwbaar."
"zelfstandig","independent","Mijn dochter is heel zelfstandig geworden."
"afhankelijk","dependent","Hij is nog afhankelijk van zijn ouders."
"flexibel","flexible","Onze werktijden zijn redelijk flexibel."
"efficiënt","efficient","We werken tegenwoordig veel efficiënter."
"geschikt","suitable","Deze film is geschikt voor kinderen."
"realistisch","realistic","Zijn verwachtingen zijn niet erg realistisch."
"praktisch","practical","Dat is een heel praktische oplossing."
"gemiddeld","average","Het gemiddelde inkomen is dit jaar gestegen."
"typisch","typical","Dat is typisch iets voor hem."
"opvallend","striking","Ze droeg een opvallende rode jurk."
"indrukwekkend","impressive","Het uitzicht was werkelijk indrukwekkend."
"overtuigend","convincing","Zijn argumenten waren heel overtuigend."
"ontroerend","moving","Het einde van de film was ontroerend."
"verrassend","surprising","De uitslag was bijzonder verrassend."
"ernstig","grave","De situatie is inmiddels bijzonder ernstig."
"dringend","urgent","Ik moet je dringend even spreken."
"tijdelijk","temporary","Dit is slechts een tijdelijke oplossing."
"blijvend","lasting","De crisis heeft een blijvend effect gehad."
"voldoende","sufficient","Hij had voldoende punten voor zijn diploma."
"nauwkeurig","precise","Vul dit formulier alstublieft nauwkeurig in."
"grondig","thorough","We hebben het huis grondig schoongemaakt."
"oppervlakkig","superficial","Zijn kennis van de stof is oppervlakkig."
"redelijk","reasonable","Dat lijkt mij een redelijk voorstel."
"logisch","logical","Zijn conclusie was volkomen logisch."
"kwetsbaar","vulnerable","Ouderen zijn tijdens een hittegolf extra kwetsbaar."
"veeleisend","demanding","Mijn nieuwe baas is erg veeleisend."
"ambitieus","ambitious","Zij is een ambitieuze jonge vrouw."
"bescheiden","modest","Ondanks zijn succes blijft hij bescheiden."
"koppig","stubborn","Mijn zoon kan soms heel koppig zijn."
"eigenwijs","headstrong","Ze is altijd al erg eigenwijs geweest."
"behulpzaam","helpful","De medewerkers waren ontzettend behulpzaam."
"zorgvuldig","meticulous","Hij werkt altijd heel zorgvuldig en netjes."
"onverwacht","unexpected","Zijn vertrek kwam volkomen onverwacht."
"vanzelfsprekend","self-evident","Goede zorg is helaas niet vanzelfsprekend."
"evenwichtig","balanced","Zij leidt een rustig en evenwichtig leven."
"abstract","abstract","Dit is een tamelijk abstract begrip."
"concreet","concrete","Geef mij eens een concreet voorbeeld."
"relevant","relevant","Die informatie is hier niet relevant."
"irrelevant","irrelevant","Zijn opmerking was volkomen irrelevant."
"essentieel","essential","Goede communicatie is essentieel voor succes."
"fundamenteel","fundamental","Dit is een fundamenteel probleem in het systeem."
"cruciaal","crucial","De volgende stap is absoluut cruciaal."
"significant","significant","Er was een significant verschil tussen beide groepen."
"marginaal","marginal","De winst bleef dit jaar marginaal."
"substantieel","substantial","Het bedrijf boekte een substantiële winst."
"complex","complex","De situatie is bijzonder complex geworden."
"specifiek","specific","Heb je een specifieke vraag voor mij?"
"algemeen","general","Dit is slechts een algemene richtlijn."
"generiek","generic","Het antwoord was te generiek en vaag."
"universeel","universal","Liefde is een universeel gevoel."
"individueel","individual","Iedere leerling krijgt individuele begeleiding."
"collectief","collective","We dragen hier een collectieve verantwoordelijkheid."
"sociaal","social","Hij zet zich in voor sociale rechtvaardigheid."
"economisch","economic","De economische groei vlakt langzaam af."
"politiek","political","Dit is een gevoelig politiek onderwerp."
"cultureel","cultural","De stad heeft een rijk cultureel leven."
"financieel","financial","Het bedrijf verkeert in financiële problemen."
"commercieel","commercial","De film werd een commercieel succes."
"juridisch","legal","We hebben juridisch advies ingewonnen."
"technisch","technical","Er was een technisch probleem met de server."
"wetenschappelijk","scientific","Deze theorie is wetenschappelijk goed onderbouwd."
"theoretisch","theoretical","Zijn benadering is puur theoretisch."
"historisch","historical","Dit gebouw heeft grote historische waarde."
"structureel","structural","Het probleem is structureel van aard."
"functioneel","functional","Het ontwerp is vooral functioneel en sober."
"rationeel","rational","Probeer een rationele beslissing te nemen."
"emotioneel","emotional","Ze reageerde heel emotioneel op het nieuws."
"objectief","objective","Een journalist moet objectief blijven."
"subjectief","subjective","Smaak is altijd erg subjectief."
"neutraal","neutral","Het land bleef tijdens het conflict neutraal."
"kritisch","critical","Hij stelde een aantal kritische vragen."
"positief","positive","De reacties waren overwegend positief."
"negatief","negative","De test gaf een negatief resultaat."
"constructief","constructive","Bedankt voor je constructieve feedback."
"destructief","destructive","Zijn gedrag werd steeds destructiever."
"productief","productive","Vandaag was een bijzonder productieve dag."
"creatief","creative","We zoeken een creatieve oplossing."
"innovatief","innovative","Het bedrijf staat bekend om innovatieve producten."
"effectief","effective","Deze methode is zeer effectief gebleken."
"intensief","intensive","De training was lang en intensief."
"extensief","extensive","Hij deed extensief onderzoek naar het onderwerp."
"exclusief","exclusive","Dit aanbod is exclusief voor leden."
"inclusief","inclusive","We streven naar een inclusieve samenleving."
"expliciet","explicit","Hij gaf duidelijke en expliciete instructies."
"impliciet","implicit","Daarmee gaf ze impliciet haar toestemming."
"consistent","consistent","Zijn verhaal was niet helemaal consistent."
"coherent","coherent","Het betoog was helder en coherent."
"stabiel","stable","De economie blijft voorlopig stabiel."
"instabiel","unstable","De politieke situatie is uiterst instabiel."
"dynamisch","dynamic","Het is een dynamische en levendige stad."
"statisch","static","Het beeld bleef de hele tijd statisch."
"ambivalent","ambivalent","Ze stond ambivalent tegenover het voorstel."
"representatief","representative","De steekproef was niet representatief."
"vergelijkbaar","comparable","Beide producten zijn qua kwaliteit vergelijkbaar."
"onvergelijkbaar","incomparable","Hun talenten zijn eigenlijk onvergelijkbaar."
"aanzienlijk","considerable","De prijzen zijn aanzienlijk gestegen."
"talrijk","numerous","Er waren talrijke klachten over de service."
"schaars","scarce","Schoon drinkwater wordt steeds schaarser."
"overvloedig","abundant","Er was overvloedig eten op het feest."
"toereikend","sufficient","Het budget bleek niet toereikend."
"ontoereikend","insufficient","De maatregelen waren volstrekt ontoereikend."
"adequaat","adequate","De hulp kwam snel en adequaat."
"inadequaat","inadequate","De reactie van de overheid was inadequaat."
"legitiem","legitimate","Dat is een legitieme zorg."
"illegaal","illegal","Het kappen van die bomen was illegaal."
"legaal","legal","In sommige landen is dat volledig legaal."
"formeel","formal","De brief was in formele taal geschreven."
"informeel","informal","We hadden een kort informeel gesprek."
"officieel","official","De officiële uitslag volgt morgen."
"onofficieel","unofficial","Onofficieel heeft hij al gewonnen."
"anoniem","anonymous","De gever wilde anoniem blijven."
"transparant","transparent","De overheid moet transparant handelen."
"vertrouwelijk","confidential","Deze gegevens zijn strikt vertrouwelijk."
"openbaar","public","Het rapport is nu openbaar gemaakt."
"particulier","private","Zij volgt les op een particuliere school."
"verplicht","mandatory","Het dragen van een helm is verplicht."
"vrijwillig","voluntary","Deelname aan het project is geheel vrijwillig."
"facultatief","optional","Dit extra vak is volledig facultatief."
"noodzakelijk","necessary","Een operatie was helaas noodzakelijk."
"overbodig","superfluous","Die opmerking was volkomen overbodig."
"zinvol","meaningful","Het was een zinvolle besteding van tijd."
"zinloos","pointless","Verder discussiëren is volkomen zinloos."
"doelgericht","goal-oriented","Ze werkt heel doelgericht aan haar carrière."
"doelmatig","efficient","De beschikbare middelen worden doelmatig ingezet."
"systematisch","systematic","Hij pakt alles heel systematisch aan."
"methodisch","methodical","Ze werkt rustig en methodisch."
"strategisch","strategic","Dat was een slimme strategische zet."
"tactisch","tactical","Hij maakte een handige tactische keuze."
"pragmatisch","pragmatic","We kiezen voor een pragmatische aanpak."
"ideologisch","ideological","Hun verschillen zijn vooral ideologisch."
"principieel","on principle","Hij weigert principieel om mee te doen."
"moreel","moral","Dit is een lastige morele kwestie."
"ethisch","ethical","Het roept ethische vragen op."
"immoreel","immoral","Zijn gedrag was ronduit immoreel."
"controversieel","controversial","De beslissing was uiterst controversieel."
"delicaat","delicate","Dit is een uiterst delicate kwestie."
"gewichtig","weighty","Hij sprak op gewichtige toon."
"omvangrijk","extensive","Het onderzoek was bijzonder omvangrijk."
"verstrekkend","far-reaching","De gevolgen van dit besluit waren verstrekkend."
"doorslaggevend","decisive","Bij de stemming was zijn stem doorslaggevend."
"bepalend","determining","Dat moment was bepalend voor zijn leven."
"toonaangevend","leading","Het is een toonaangevend bedrijf in de sector."
"vooruitstrevend","progressive","De gemeente voert een vooruitstrevend beleid."
"behoudend","conservative","Hij heeft nogal behoudende opvattingen."
"conservatief","conservative","Zij stemt op een conservatieve partij."
"progressief","progressive","Hij is een uitgesproken progressieve denker."
"gematigd","moderate","Hij neemt een gematigd standpunt in."
"radicaal","radical","Ze koos voor een radicale verandering."
"extreem","extreme","De temperaturen waren dit jaar extreem."
"fanatiek","fanatical","Hij is een fanatieke supporter."
"obsessief","obsessive","Ze controleert alles op obsessieve wijze."
"dwangmatig","compulsive","Hij wast dwangmatig zijn handen."
"impulsief","impulsive","Ze nam een impulsieve beslissing."
"spontaan","spontaneous","We gingen spontaan naar het strand."
"berekenend","calculating","Hij is een koude, berekenende man."
"doelbewust","deliberate","Ze liep doelbewust naar de uitgang."
"opzettelijk","intentional","Hij beschadigde de auto opzettelijk."
"onopzettelijk","unintentional","De fout was geheel onopzettelijk."
"toevallig","coincidental","We kwamen elkaar toevallig tegen."
"willekeurig","arbitrary","De controles gebeuren volledig willekeurig."
"selectief","selective","Hij is heel selectief in zijn vrienden."
"gevarieerd","varied","Het menu is rijk en gevarieerd."
"eentonig","monotonous","Het werk werd op den duur eentonig."
"eenzijdig","one-sided","Het verslag was nogal eenzijdig."
"veelzijdig","versatile","Hij is een echt veelzijdige sporter."
"meervoudig","multiple","Ze liep meervoudige verwondingen op."
"enkelvoudig","single","Het bleek een enkelvoudig probleem."
