"dutch","english","example"
"lankmoedig","forbearing","De leraar bleef lankmoedig tegenover zijn leerlingen."
"onverzettelijk","unyielding","Hij bleef onverzettelijk in zijn standpunt."
"onverdroten","indefatigable","Ze zette haar werk onverdroten voort."
"gewiekst","shrewd","Hij is een gewiekste en sluwe zakenman."
"gehaaid","cunning","De advocaat bleek bijzonder gehaaid."
"doorkneed","well-versed","Zij is doorkneed in de klassieke literatuur."
"erudiet","erudite","Hij gaf een erudiete en boeiende lezing."
"welbespraakt","eloquent","De jonge spreker was uiterst welbespraakt."
"welgemanierd","well-mannered","Hun kinderen zijn opvallend welgemanierd."
"minzaam","affable","Hij glimlachte minzaam naar zijn gasten."
"inschikkelijk","accommodating","Ze toonde zich verrassend inschikkelijk."
"lichtzinnig","frivolous","Hij ging lichtzinnig met zijn geld om."
"onbezonnen","rash","Het bleek achteraf een onbezonnen beslissing."
"vermetel","audacious","Het was een vermetel en gewaagd plan."
"onstuimig","impetuous","De jongeman was onstuimig en driftig."
"verheven","lofty","Zijn taal klonk plechtig en verheven."
"hoogdravend","pompous","Zijn toespraak was nogal hoogdravend."
"gezwollen","bombastic","De brief was in gezwollen taal geschreven."
"omslachtig","cumbersome","Zijn uitleg was onnodig lang en omslachtig."
"breedsprakig","verbose","De auteur schrijft helaas erg breedsprakig."
"spitsvondig","ingenious","Hij gaf een spitsvondig en geestig antwoord."
"gevat","quick-witted","Ze reageerde gevat op de scherpe kritiek."
"zwartgallig","gloomy","Hij is de laatste tijd nogal zwartgallig."
"lijdzaam","passive","Ze onderging haar lot gelaten en lijdzaam."
"gedwee","docile","Het kind volgde gedwee zijn strenge ouders."
"inhalig","grasping","De koopman was hebberig en inhalig."
"vrekkig","miserly","Zijn rijke oom stond bekend als vrekkig."
"zwaarwichtig","ponderous","Hij sprak met zware, zwaarwichtige stem."
"bedaard","composed","Ze bleef bedaard tijdens de hele ruzie."
"ootmoedig","humble","Hij boog ootmoedig zijn hoofd."
"gemelijk","peevish","De oude man was gemelijk en nors."
"korzelig","crabby","Hij gaf een kort en korzelig antwoord."
"nors","gruff","De portier keek ons nors aan."
"stuurs","sullen","Ze zat de hele avond stuurs in een hoek."
"argeloos","guileless","Het kind keek argeloos om zich heen."
"onbevangen","unprejudiced","Kinderen benaderen de wereld nog onbevangen."
"ingetogen","demure","Ze vierde haar verjaardag heel ingetogen."
"uitbundig","exuberant","Het feest werd uitbundig en luidruchtig gevierd."
"troosteloos","desolate","Het winterse landschap was grijs en troosteloos."
"weergaloos","peerless","Zij gaf een weergaloze en onvergetelijke voorstelling."
"wereldwijs","worldly-wise","De oude reiziger was wereldwijs en ervaren."
"levenswijs","wise about life","Mijn grootmoeder was bijzonder levenswijs."
"wijsgerig","philosophical","Hij hield een wijsgerige beschouwing over geluk."
"bespiegelend","contemplative","De roman heeft een bespiegelende ondertoon."
"beschouwend","reflective","Ze schreef een beschouwend essay over de tijd."
"mijmerend","musing","Hij staarde mijmerend uit het raam."
"peinzend","pensive","Ze keek peinzend naar de verre horizon."
"verzonken","absorbed","Hij was verzonken in diepe gedachten."
"verstrooid","distracted","De professor is vaak verstrooid en afwezig."
"verstomd","struck dumb","Het publiek bleef verstomd van bewondering."
"sprakeloos","speechless","Ze stond sprakeloos van pure verbazing."
"stomverbaasd","astonished","Hij keek stomverbaasd naar het wonder."
"onthutst","dismayed","Ze was onthutst door het slechte nieuws."
"ontredderd","distraught","De man dwaalde ontredderd door de straten."
"ontdaan","shaken","Ze was zichtbaar ontdaan na het ongeluk."
"ontzet","horrified","Hij keek ontzet naar de ravage."
"verbijsterd","bewildered","Ze stond verbijsterd voor de gesloten deur."
"perplex","perplexed","Hij stond perplex van het vreemde antwoord."
"confuus","confused","Ze raakte helemaal confuus van de drukte."
"ontluisterd","disenchanted","Hij keerde ontluisterd terug uit de oorlog."
"gedesillusioneerd","disillusioned","Ze verliet gedesillusioneerd de politiek."
"ontnuchterd","sobered","Hij was ontnuchterd door de harde realiteit."
"gelouterd","purified","Ze kwam gelouterd uit de beproeving tevoorschijn."
"verguisd","reviled","De dichter werd in zijn tijd verguisd."
"verfoeilijk","detestable","Het was een verfoeilijke en laffe daad."
"verwerpelijk","reprehensible","Zijn gedrag is moreel volstrekt verwerpelijk."
"laakbaar","blameworthy","De rechter noemde de nalatigheid laakbaar."
"verdoemd","damned","De verdoemde ziel kende geen rust meer."
"vervloekt","cursed","Het oude kasteel leek wel vervloekt."
"onzalig","ill-fated","Het was een onzalig en rampzalig plan."
"heilloos","disastrous","Ze sloegen een heilloze weg in."
"onheilspellend","ominous","Aan de horizon pakten onheilspellende wolken samen."
"dreigend","threatening","De lucht werd donker en dreigend."
"nakend","imminent","Het nakende onheil was overal voelbaar."
"aanstaande","forthcoming","De aanstaande verkiezingen baren hem zorgen."
"naderend","approaching","Iedereen vreesde de naderende storm."
"onafwendbaar","inevitable","Het einde leek onafwendbaar nabij."
"noodlottig","fatal","Het werd een noodlottige avond voor hem."
"fataal","fatal","De fout bleek fataal voor het project."
"dodelijk","deadly","De slang heeft een dodelijk gif."
"verderfelijk","pernicious","Roken heeft een verderfelijke invloed."
"schadelijk","harmful","Te veel zon is schadelijk voor de huid."
"heilzaam","beneficial","De bergluchten werkten heilzaam op haar."
"weldadig","soothing","De warmte van het vuur voelde weldadig aan."
"lieflijk","lovely","Het meisje had een lieflijk glimlachje."
"zoetsappig","saccharine","De film was sentimenteel en zoetsappig."
"sentimenteel","sentimental","Ze werd sentimenteel bij de oude liedjes."
"larmoyant","mawkish","Zijn afscheidsrede klonk larmoyant en huilerig."
"zwoel","sultry","De zomeravond was warm en zwoel."
"verzengend","scorching","De verzengende hitte dreef ons naar binnen."
"schroeiend","searing","De schroeiende zon brandde op het zand."
"nijdig","irritated","Hij keek nijdig naar de luidruchtige buren."
"grimmig","grim","De sfeer in de zaal werd grimmig."
"verbolgen","indignant","Ze was verbolgen over de oneerlijke behandeling."
"vergramd","wrathful","De koning was vergramd over het verraad."
"toornig","wrathful","Hij sprak met toornige, donderende stem."
"verongelijkt","aggrieved","Ze trok zich verongelijkt terug in haar kamer."
"gepikeerd","piqued","Hij reageerde gepikeerd op de plagerij."
"gebelgd","offended","Ze voelde zich gebelgd door zijn opmerking."
"verbouwereerd","flustered","Hij stond verbouwereerd bij de plotselinge vraag."
"beduusd","taken aback","Ze keek beduusd na de strenge berisping."
"bedremmeld","abashed","Het kind stond bedremmeld voor de klas."
"schuchter","timid","Hij vroeg schuchter om haar telefoonnummer."
"timide","timid","Ze gaf een timide en zacht antwoord."
"beschroomd","bashful","Hij keek beschroomd naar de grond."
"blozend","blushing","Ze stond blozend in het middelpunt."
"schichtig","skittish","Het hert keek schichtig om zich heen."
"schuw","shy","De wilde kat bleef schuw en wantrouwig."
"kopschuw","gun-shy","Het slechte nieuws maakte hem kopschuw."
"kribbig","testy","Hij gaf een kribbig en kortaf antwoord."
"wrevelig","peevish","Ze reageerde wrevelig op de vragen."
"knorrig","grumpy","Opa was die ochtend bijzonder knorrig."
"brommerig","grumbling","Hij liep brommerig door het lege huis."
"mopperig","grumbling","De klant was chagrijnig en mopperig."
"chagrijnig","grouchy","Door de regen werd iedereen chagrijnig."
"humeurig","moody","Tijdens de griep was hij erg humeurig."
"geërgerd","annoyed","Ze keek geërgerd op haar horloge."
"verbitterd","embittered","Hij werd verbitterd door het grote verlies."
"verzuurd","soured","Haar gezicht stond verzuurd en hard."
"wrokkig","resentful","Hij bleef jarenlang wrokkig over het onrecht."
"rancuneus","spiteful","Ze was rancuneus en vergaf nooit iets."
"haatdragend","vindictive","Hij is koppig en uiterst haatdragend."
"wraakzuchtig","vengeful","De wraakzuchtige koning kende geen genade."
"wreed","cruel","De tiran heerste wreed over het land."
"onbarmhartig","merciless","De rechter was onbarmhartig in zijn vonnis."
"genadeloos","ruthless","De concurrentie was hard en genadeloos."
"hardvochtig","hard-hearted","Hij behandelde de bedelaar hardvochtig."
"harteloos","heartless","Het was een harteloze en koude beslissing."
"liefdeloos","loveless","Ze groeide op in een liefdeloos gezin."
"gevoelloos","unfeeling","Hij bleef gevoelloos bij het verdriet."
"ongenadig","unsparing","De storm raasde ongenadig over het dorp."
"wreedaardig","savage","Het was een wreedaardige en gruwelijke moord."
"bloeddorstig","bloodthirsty","De bloeddorstige horde plunderde de stad."
"moorddadig","murderous","Hij keek haar met moorddadige blik aan."
"vernietigend","devastating","Ze gaf een vernietigend oordeel over het boek."
"verpletterend","crushing","Het leger leed een verpletterende nederlaag."
"vlijmscherp","razor-sharp","Haar kritiek was vlijmscherp en pijnlijk."
"vilein","vile","Hij maakte een vileine en gemene opmerking."
"venijnig","venomous","Ze gaf een venijnig en bits antwoord."
"giftig","poisonous","Zijn woorden waren giftig en wrang."
"bits","curt","Ze antwoordde bits en zonder glimlach."
"snijdend","cutting","Hij sprak op snijdende, ijzige toon."
"bijtend","biting","Haar spot was bijtend en meedogenloos."
"sarcastisch","sarcastic","Hij maakte een sarcastische opmerking over haar."
"cynisch","cynical","Ze keek cynisch naar alle mooie beloften."
"schamper","scornful","Hij lachte schamper om hun naïeve plan."
"smalend","sneering","Ze sprak smalend over zijn mislukking."
"honend","jeering","De menigte riep honend naar de verliezer."
"spottend","mocking","Hij keek spottend naar het zielige tafereel."
"laatdunkend","disdainful","Ze sprak laatdunkend over de gewone man."
"minachtend","contemptuous","Hij wierp haar een minachtende blik toe."
"hooghartig","haughty","De gravin keek hooghartig op ons neer."
"hovaardig","arrogant","De hovaardige edelman duldde geen tegenspraak."
"verwaand","conceited","Hij is een verwaande en ijdele kwast."
"zelfingenomen","self-satisfied","Ze glimlachte zelfingenomen na haar zege."
"ingebeeld","self-important","Die ingebeelde jongeman irriteert iedereen."
"pretentieus","pretentious","Het restaurant was duur en pretentieus."
"aanmatigend","presumptuous","Zijn toon klonk aanmatigend en betweterig."
"arrogant","arrogant","De directeur gedroeg zich uiterst arrogant."
"snoeverig","boastful","Hij vertelde snoeverig over zijn avonturen."
"opschepperig","bragging","Haar opschepperige verhalen verveelden iedereen."
"ijdel","vain","De acteur was ijdel op zijn uiterlijk."
"pronkerig","showy","Ze droeg een pronkerige, opvallende jurk."
"opzichtig","gaudy","Het huis was opzichtig en smakeloos versierd."
"protserig","ostentatious","Hij reed in een protserige sportwagen rond."
"bombastisch","bombastic","De toespraak was hol en bombastisch."
"zwierig","flamboyant","Hij maakte een zwierige buiging voor het publiek."
"plechtstatig","stately","De stoet bewoog zich plechtstatig voort."
"plechtig","solemn","De ceremonie verliep plechtig en ingetogen."
"statig","majestic","De statige bomen omzoomden de oprijlaan."
"deftig","distinguished","De gasten waren keurig en deftig gekleed."
"voornaam","aristocratic","Ze stamde uit een oude, voorname familie."
"vermaard","renowned","Hij is een vermaard en gevierd schilder."
"illuster","illustrious","Ze behoorde tot een illuster gezelschap."
"roemrucht","famed","De roemruchte ridder werd overal bezongen."
"fameus","famous","Het was een fameuze en legendarische avond."
"berucht","notorious","De berucht piraat terroriseerde de zeeën."
"legendarisch","legendary","Zijn moed werd al snel legendarisch."
"mythisch","mythical","Het verhaal had bijna mythische proporties."
"fabelachtig","fabulous","Ze woonden in een fabelachtig groot kasteel."
"sprookjesachtig","fairytale-like","Het besneeuwde dorp leek sprookjesachtig mooi."
"betoverd","enchanted","Het betoverde woud zat vol geheimen."
"spookachtig","ghostly","In het mistige bos hing een spookachtige sfeer."
"luguber","sinister","Het verlaten huis had iets lugubers."
"macaber","macabre","De schilder hield van macabere taferelen."
"grotesk","grotesque","Het standbeeld had een groteske vorm."
