"dutch","english","example"
"niettemin","nevertheless","Hij was moe; niettemin werkte hij door."
"vooralsnog","for the time being","Vooralsnog blijft het plan ongewijzigd."
"evenwel","however","Het was duur; evenwel kochten we het."
"derhalve","therefore","Hij loog; derhalve geloof ik hem niet."
"veeleer","rather","Het is veeleer een gevoel dan een feit."
"nochtans","nevertheless","Het leek onmogelijk; nochtans lukte het."
"desalniettemin","nonetheless","Desalniettemin gaat het project gewoon door."
"dientengevolge","consequently","Het vroor; dientengevolge lag er ijs."
"weldra","soon","Weldra brak de strenge winter aan."
"allengs","gradually","Allengs werd het buiten stiller."
"nimmer","never","Ik zal die dag nimmer vergeten."
"thans","currently","Thans woont zij in Den Haag."
"eertijds","formerly","Eertijds stond hier een groot kasteel."
"alom","widely","Hij is alom bekend en geliefd."
"ietwat","somewhat","Hij was ietwat verbaasd over het nieuws."
"goeddeels","largely","Het probleem is inmiddels goeddeels opgelost."
"allerminst","by no means","Dat is allerminst zeker, vrees ik."
"ternauwernood","barely","Hij ontsnapte ternauwernood aan het ongeluk."
"schoorvoetend","reluctantly","Schoorvoetend ging hij uiteindelijk akkoord."
"ogenblikkelijk","instantly","Hij reageerde vrijwel ogenblikkelijk."
"mettertijd","in time","Mettertijd went het allemaal wel."
"wijselijk","wisely","Hij zweeg wijselijk over de kwestie."
"terdege","thoroughly","Ze was zich terdege bewust van het risico."
"terloops","in passing","Hij vermeldde het slechts terloops."
"nagenoeg","practically","Het is nagenoeg onmogelijk geworden."
"zienderogen","visibly","De patiënt werd zienderogen beter."
"allesbehalve","anything but","Het was allesbehalve gemakkelijk."
"heden","today","Heden vieren wij zijn verjaardag."
"dermate","to such an extent","Hij was dermate moe dat hij viel."
"zozeer","so much","Hij hield zozeer van zijn werk."
"evenzeer","equally","Dat geldt evenzeer voor jou."
"veelvuldig","frequently","Deze term wordt veelvuldig gebruikt."
"bovenal","above all","Bovenal wil ik jullie hartelijk bedanken."
"allereerst","first of all","Allereerst bespreken we de nieuwe cijfers."
"hoegenaamd","at all","Er was hoegenaamd geen bewijs."
"welhaast","almost","Het is welhaast onmogelijk te geloven."
"bijkans","almost","Hij viel bijkans flauw van schrik."
"evenmin","neither","Hij wist het niet, en evenmin zij."
"niettegenstaande","notwithstanding","Niettegenstaande de regen gingen we door."
"desgelijks","likewise","Desgelijks handelde zijn jongere collega."
"te dien einde","to that end","Te dien einde werd een commissie benoemd."
"zulks","such","Zulks werd door iedereen bevestigd."
"aldaar","there","Hij studeerde aldaar enkele jaren rechten."
"alhier","here","De vergadering vond gisteren alhier plaats."
"hieromtrent","concerning this","Hieromtrent bestaat veel onduidelijkheid."
"daaromtrent","concerning that","Daaromtrent zijn duidelijke afspraken gemaakt."
"ten deze","in this matter","Ten deze geldt een bijzonder strenge regel."
"terzake","to the point","Hij kwam na de inleiding meteen terzake."
"dienvolgens","accordingly","Dienvolgens werd het besluit genomen."
"alsmede","as well as","Boeken alsmede tijdschriften zijn welkom."
"alsook","as well as","Hij kwam, alsook zijn hele gezin."
"benevens","besides","Benevens dit punt is er nog meer."
"vanwaar","whence","Vanwaar deze plotselinge interesse, vraag ik."
"ontegenzeggelijk","undeniably","Hij is ontegenzeggelijk de beste speler."
"voorzeker","certainly","Voorzeker zal hij dat wel begrijpen."
"onbetwist","undisputedly","Hij is onbetwist de leider van de groep."
"onweerlegbaar","irrefutably","Dat is onweerlegbaar wetenschappelijk bewezen."
"aantoonbaar","demonstrably","Die bewering is aantoonbaar volkomen onjuist."
"aanwijsbaar","identifiably","Er is geen aanwijsbaar verschil tussen beide."
"bijster","particularly","Hij was niet bijster geïnteresseerd."
"mateloos","boundlessly","Hij was destijds mateloos populair."
"grenzeloos","boundlessly","Haar geduld met de kinderen was grenzeloos."
"intens","intensely","Ze genoot intens van de mooie muziek."
"uiterst","extremely","Het was een uiterst lastige situatie."
"hoogst","highly","Dat is hoogst ongebruikelijk gedrag."
"ten zeerste","greatly","Ik raad dat ten zeerste sterk af."
"volstrekt","utterly","Dat is volstrekt onmogelijk te realiseren."
"geheel en al","entirely","Dat is geheel en al jouw eigen schuld."
"ten diepste","profoundly","Hij was ten diepste door haar geraakt."
"substantieel","substantially","De winst steeg dit jaar substantieel."
"significant","significantly","Het verschil tussen beide is significant."
"markant","markedly","Hij week markant af van de gangbare norm."
"opmerkelijk","remarkably","Ze was opmerkelijk goed voorbereid."
"frappant","strikingly","Frappant genoeg klopte zijn voorspelling."
"treffend","strikingly","Hij beschreef de situatie heel treffend."
"in hoge mate","to a high degree","Hij is in hoge mate betrouwbaar gebleken."
"in ruime mate","abundantly","Er was in ruime mate keuze aan eten."
"in geringe mate","to a small degree","Dat speelt slechts in geringe mate mee."
"onverwijld","without delay","Hij vertrok onverwijld naar het ziekenhuis."
"alras","soon","Alras bleek dat plan volkomen onmogelijk."
"voorshands","for the present","Voorshands blijft het plan ongewijzigd."
"te eniger tijd","at some time","Te eniger tijd lossen we dat probleem op."
"te allen tijde","at all times","U kunt te allen tijde kosteloos opzeggen."
"bijtijds","in good time","Kom alsjeblieft bijtijds naar het station."
"onderwijl","meanwhile","Onderwijl kookte zij rustig het eten."
"gestadig","steadily","De druk op de ketel nam gestadig toe."
"langzamerhand","gradually","Langzamerhand werd de hele zaak duidelijker."
"successievelijk","successively","De gasten kwamen successievelijk binnen."
"en passant","in passing","Hij vermeldde het terloops en passant."
"nonchalant","casually","Hij reageerde nogal nonchalant op alles."
"achteloos","carelessly","Ze legde de dure brief achteloos neer."
"onverschillig","indifferently","Hij haalde onverschillig zijn schouders op."
"gewillig","willingly","Hij volgde gewillig al haar instructies."
"gedwee","meekly","Ze knikte gedwee en zweeg verder."
"vastberaden","resolutely","Hij liep vastberaden naar voren toe."
"resoluut","resolutely","Ze weigerde resoluut elk nieuw voorstel."
"standvastig","steadfastly","Hij bleef standvastig bij zijn eerste keuze."
"onverzettelijk","unyieldingly","Hij bleef onverzettelijk weigeren te tekenen."
"onvermoeibaar","tirelessly","Zij werkte onvermoeibaar aan de oplossing."
"ijverig","diligently","De studenten werkten ijverig aan de opdracht."
"vlijtig","diligently","Hij studeerde vlijtig voor zijn examen."
"minutieus","meticulously","Hij plande de hele reis minutieus."
"stipt","punctually","Hij verschijnt altijd stipt op tijd."
"punctueel","punctually","Zij betaalt haar rekeningen altijd punctueel."
"onverbloemd","bluntly","Hij zei het haar onverbloemd in het gezicht."
"ongezouten","blunt","Hij gaf zijn mening ongezouten aan iedereen."
"botweg","bluntly","Hij weigerde botweg elke verdere hulp."
"pardoes","smack","Hij liep pardoes tegen de glazen deur."
"subiet","at once","Hij vertrok subiet na het slechte bericht."
"insgelijks","likewise","Insgelijks wens ik u een prettige dag."
"inzonderheid","especially","Inzonderheid de ouderen profiteren hiervan."
"bij uitstek","par excellence","Hij is bij uitstek geschikt voor deze taak."
"zijnerzijds","on his part","Zijnerzijds was er geen enkel bezwaar."
"mijnerzijds","on my part","Mijnerzijds is werkelijk alles in orde."
"onzerzijds","on our part","Onzerzijds bestaat geen enkel bezwaar."
"uwerzijds","on your part","Is er uwerzijds nog een laatste vraag?"
"gemeenlijk","commonly","Gemeenlijk noemt men zoiets puur geluk."
"als regel","as a rule","Als regel sluiten wij om zes uur."
"bij voorkeur","preferably","Betaal bij voorkeur contant aan de kassa."
"liefst","preferably","Kom liefst nog voor het donker thuis."
"bij voorbaat","in advance","Bij voorbaat alvast hartelijk dank."
"als zodanig","as such","Hij is leider en wordt als zodanig erkend."
"op zich","in itself","Het idee is op zich werkelijk heel goed."
"op zichzelf","in itself","Dat is op zichzelf helemaal niet verkeerd."
"als het ware","as it were","Hij was als het ware spoorloos verdwenen."
"bij wijze van spreken","so to speak","Bij wijze van spreken stierf hij duizend doden."
"om zo te zeggen","so to speak","Het was, om zo te zeggen, helemaal voorbij."
"dusdanig","in such a way","Hij gedroeg zich dusdanig vreemd gisteren."
"tot op grote hoogte","to a large extent","Tot op grote hoogte klopt zijn verhaal."
"in belangrijke mate","to an important degree","Dat draagt in belangrijke mate bij."
"in sterke mate","strongly","Hij is in sterke mate afhankelijk van haar."
"rijkelijk","amply","Hij werd voor zijn inzet rijkelijk beloond."
"karig","sparingly","Het loon was destijds bijzonder karig bemeten."
"spaarzaam","sparingly","Hij ging altijd spaarzaam met woorden om."
"mondjesmaat","sparingly","Informatie kwam slechts mondjesmaat binnen."
"met mate","in moderation","Geniet van de wijn, maar wel met mate."
"verreweg","by far","Hij is verreweg de beste leerling hier."
"veruit","by far","Dit is veruit de mooiste foto geworden."
"bij lange na niet","not by a long shot","Het is bij lange na niet genoeg geld."
"lang niet","not nearly","Dat is lang niet altijd helemaal waar."
"volslagen","utterly","Hij was hier toen volslagen onbekend."
"waarlijk","truly","Hij was waarlijk een groot kunstenaar."
"wel degelijk","indeed","Hij heeft het wel degelijk zo gezegd."
"evident","evidently","Het is evident dat hij ons voorloog."
"allerwaarschijnlijkst","most likely","Allerwaarschijnlijkst komt hij vandaag niet."
"naar het zich laat aanzien","as it seems","Naar het zich laat aanzien lukt het wel."
"quasi","quasi","Hij deed quasi onverschillig over het nieuws."
"aanstonds","presently","Aanstonds begint de lang verwachte voorstelling."
"eerlang","before long","Eerlang zal hij naar huis terugkeren."
"te gelegener tijd","at an opportune time","Te gelegener tijd komen we hierop terug."
"tijdig","in time","Lever het werk vooral tijdig in."
"ontijdig","untimely","Hij overleed jong en volkomen ontijdig."
"voortijdig","prematurely","Hij stopte voortijdig met zijn studie."
"vroegtijdig","early","Meld je vroegtijdig aan voor de cursus."
"van meet af aan","from the very start","Van meet af aan ging er iets mis."
"behoedzaam","cautiously","Hij naderde behoedzaam de boze hond."
"omzichtig","cautiously","Ze formuleerde haar kritiek heel omzichtig."
"bedachtzaam","thoughtfully","Hij knikte bedachtzaam en zweeg even."
"doordacht","thoughtfully","Het hele plan was bijzonder goed doordacht."
"systematisch","systematically","Hij werkte systematisch alle dossiers af."
"methodisch","methodically","Zij ging uiterst methodisch te werk."
"consequent","consistently","Hij paste de nieuwe regel consequent toe."
"consistent","consistently","Zij handelde in alles altijd consistent."
"onverstoorbaar","imperturbably","Hij bleef onverstoorbaar rustig doorpraten."
"onbewogen","impassively","Ze hoorde het droeve nieuws onbewogen aan."
"gelaten","resignedly","Hij onderging zijn lot volkomen gelaten."
"gulzig","greedily","Hij at gulzig zijn volle bord helemaal leeg."
"driftig","hot-temperedly","Hij stond driftig op en verliet de zaal."
"heftig","vehemently","Ze reageerde heftig op het slechte nieuws."
"hevig","intensely","Het sneeuwde hevig gedurende de hele nacht."
"verwoed","fiercely","Hij werkte verwoed aan de laatste oplossing."
"fanatiek","fanatically","Zij sportte fanatiek elke ochtend buiten."
"hartstochtelijk","passionately","Hij sprak hartstochtelijk over moderne kunst."
"innig","fondly","Ze omhelsden elkaar innig op het perron."
"teder","tenderly","Hij keek haar lange tijd teder aan."
"in dezen","in this matter","In dezen ben ik het volstrekt oneens."
"voor het overige","for the rest","Voor het overige verliep alles naar wens."
"ten overvloede","redundantly","Ten overvloede herhaal ik het nog één keer."
"ter afsluiting","in closing","Ter afsluiting bedank ik hartelijk iedereen."
"concluderend","in conclusion","Concluderend was het project een succes."
"samenvattend","summarizing","Samenvattend ging het vooral om vertrouwen."
"kortheidshalve","for brevity","Kortheidshalve noem ik slechts één voorbeeld."
"gemakshalve","for convenience","Gemakshalve nemen we vandaag maar de auto."
"veiligheidshalve","for safety's sake","Veiligheidshalve dragen we allemaal een helm."
"volledigheidshalve","for completeness","Volledigheidshalve meld ik dit punt ook nog."
"duidelijkheidshalve","for clarity","Duidelijkheidshalve herhaal ik de regel even."
"eenvoudshalve","for simplicity","Eenvoudshalve laten we dat detail nu weg."
