"dutch","english","article","plural","example"
"overheid","government","de","overheden","De overheid investeert in beter onderwijs."
"samenleving","society","de","samenlevingen","Onze samenleving wordt steeds diverser."
"ontwikkeling","development","de","ontwikkelingen","De technologische ontwikkeling gaat razendsnel."
"invloed","influence","de","invloeden","Het weer heeft invloed op onze stemming."
"gevolg","consequence","het","gevolgen","De crisis had grote gevolgen voor iedereen."
"oorzaak","cause","de","oorzaken","De oorzaak van het ongeluk is onbekend."
"doel","goal","het","doelen","We werken samen aan een gemeenschappelijk doel."
"middel","means","het","middelen","De overheid heeft te weinig middelen."
"maatregel","measure","de","maatregelen","De nieuwe maatregel gaat volgende week in."
"wet","law","de","wetten","De nieuwe wet treedt morgen in werking."
"belang","interest","het","belangen","Hij behartigt de belangen van de werknemers."
"begroting","budget","de","begrotingen","De begroting van dit jaar is sluitend."
"economie","economy","de","economieën","De economie groeit langzaam maar zeker."
"inkomen","income","het","inkomens","Zijn inkomen is dit jaar gestegen."
"uitkering","benefit","de","uitkeringen","Zij ontvangt sinds kort een uitkering."
"milieu","environment","het","milieus","We moeten het milieu beter beschermen."
"klimaat","climate","het","klimaten","Het klimaat verandert sneller dan verwacht."
"energie","energy","de","energieën","Duurzame energie wordt steeds belangrijker."
"onderzoek","research","het","onderzoeken","Het onderzoek leverde verrassende resultaten op."
"resultaat","result","het","resultaten","Het resultaat van het examen was goed."
"conclusie","conclusion","de","conclusies","De conclusie van het rapport is duidelijk."
"verschijnsel","phenomenon","het","verschijnselen","Dit verschijnsel komt vaker voor in steden."
"verschil","difference","het","verschillen","Het verschil tussen beide plannen is klein."
"verhouding","relationship","de","verhoudingen","De verhouding tussen collega's is goed."
"samenwerking","cooperation","de","samenwerkingen","De samenwerking tussen beide landen verloopt soepel."
"concurrentie","competition","de","concurrenties","De concurrentie op de markt is hevig."
"organisatie","organisation","de","organisaties","De organisatie zet zich in voor vluchtelingen."
"instelling","institution","de","instellingen","Deze instelling biedt zorg aan ouderen."
"bestuur","board","het","besturen","Het bestuur vergadert elke maand een keer."
"verantwoordelijkheid","responsibility","de","verantwoordelijkheden","Hij neemt zijn verantwoordelijkheid heel serieus."
"verplichting","obligation","de","verplichtingen","Zij komt al haar verplichtingen netjes na."
"vooroordeel","prejudice","het","vooroordelen","We moeten ons vooroordeel proberen los te laten."
"vluchteling","refugee","de","vluchtelingen","De vluchteling zoekt een veilige plek."
"bevolking","population","de","bevolkingen","De bevolking van de stad groeit snel."
"generatie","generation","de","generaties","De jonge generatie denkt anders over werk."
"gedrag","behaviour","het","gedragingen","Zijn gedrag tijdens de les was voorbeeldig."
"houding","attitude","de","houdingen","Haar positieve houding werkt heel aanstekelijk."
"overtuiging","conviction","de","overtuigingen","Hij sprak met grote overtuiging over het plan."
"toename","increase","de","toenames","Er is een toename van het aantal klachten."
"afname","decrease","de","afnames","De afname van de werkloosheid is opvallend."
"minister","minister","de","ministers","De minister gaf een korte verklaring."
"kabinet","cabinet","het","kabinetten","Het kabinet viel na een hevig conflict."
"parlement","parliament","het","parlementen","Het parlement stemde over de nieuwe wet."
"verkiezing","election","de","verkiezingen","De verkiezingen vinden in maart plaats."
"stem","vote","de","stemmen","Zijn stem gaf de doorslag bij de stemming."
"partij","party","de","partijen","De partij verloor veel zetels."
"coalitie","coalition","de","coalities","De coalitie bestaat uit drie partijen."
"oppositie","opposition","de","opposities","De oppositie bekritiseert het nieuwe beleid."
"debat","debate","het","debatten","Het debat in de Kamer duurde uren."
"motie","motion","de","moties","De motie werd met meerderheid aangenomen."
"wetsvoorstel","bill","het","wetsvoorstellen","Het wetsvoorstel ligt nu bij de Kamer."
"grondwet","constitution","de","grondwetten","De grondwet beschermt onze fundamentele rechten."
"democratie","democracy","de","democratieën","In een democratie telt elke stem."
"vrijheid","freedom","de","vrijheden","De vrijheid van meningsuiting is belangrijk."
"recht","right","het","rechten","Iedereen heeft recht op een eerlijk proces."
"plicht","duty","de","plichten","Stemmen is voor hem een morele plicht."
"burger","citizen","de","burgers","Elke burger betaalt belasting aan de staat."
"ambtenaar","civil servant","de","ambtenaren","De ambtenaar behandelt jouw aanvraag."
"gemeenteraad","city council","de","gemeenteraden","De gemeenteraad vergadert over het nieuwe plan."
"provincie","province","de","provincies","Deze provincie kent veel landbouw."
"staat","state","de","staten","De staat draagt zorg voor onderwijs."
"natie","nation","de","naties","De natie rouwde om het verlies."
"leider","leader","de","leiders","De leider hield een vurige toespraak."
"macht","power","de","machten","De macht is verdeeld over drie organen."
"hervorming","reform","de","hervormingen","De hervorming van de zorg verloopt traag."
"subsidie","subsidy","de","subsidies","Het project krijgt subsidie van de overheid."
"bezuiniging","cutback","de","bezuinigingen","De bezuiniging treft vooral de cultuursector."
"akkoord","agreement","het","akkoorden","De partijen sloten een breed akkoord."
"verdrag","treaty","het","verdragen","Beide landen ondertekenden het nieuwe verdrag."
"onderhandeling","negotiation","de","onderhandelingen","De onderhandeling leverde nog geen akkoord op."
"ambassade","embassy","de","ambassades","De ambassade verleent hulp aan reizigers."
"bondgenoot","ally","de","bondgenoten","Het land zoekt steun bij zijn bondgenoten."
"aandeel","share","het","aandelen","De koers van het aandeel daalde sterk."
"beurs","stock exchange","de","beurzen","De beurs reageerde nerveus op het nieuws."
"investering","investment","de","investeringen","De investering levert pas later rendement op."
"rente","interest rate","de","rentes","De rente op spaargeld is laag."
"inflatie","inflation","de","inflaties","De inflatie maakt boodschappen steeds duurder."
"kapitaal","capital","het","kapitalen","Het bedrijf zoekt kapitaal voor uitbreiding."
"bezit","possession","het","bezittingen","Het huis is zijn enige waardevolle bezit."
"vermogen","wealth","het","vermogens","Zijn vermogen groeide door slimme keuzes."
"koers","exchange rate","de","koersen","De koers van de euro stijgt licht."
"productie","production","de","producties","De productie van auto's daalde dit kwartaal."
"consument","consumer","de","consumenten","De consument let steeds meer op prijs."
"consumptie","consumption","de","consumpties","De consumptie van vlees neemt langzaam af."
"voorraad","stock","de","voorraden","De voorraad raakt door de drukte op."
"omzet","turnover","de","omzetten","De omzet van de winkel verdubbelde."
"opbrengst","yield","de","opbrengsten","De opbrengst van de oogst viel tegen."
"rendement","return","het","rendementen","Het rendement op deze belegging is hoog."
"faillissement","bankruptcy","het","faillissementen","Het bedrijf ontsnapte ternauwernood aan een faillissement."
"schuldeiser","creditor","de","schuldeisers","De schuldeisers eisen hun geld terug."
"arbeidsmarkt","labour market","de","arbeidsmarkten","De arbeidsmarkt is op dit moment krap."
"sector","sector","de","sectoren","De technische sector groeit hard."
"branche","industry","de","branches","Deze branche kampt met een tekort."
"valuta","currency","de","valuta's","De buitenlandse valuta verloor aan waarde."
"accijns","excise duty","de","accijnzen","De accijns op brandstof gaat omhoog."
"dividend","dividend","het","dividenden","De aandeelhouders ontvangen een hoger dividend."
"recessie","recession","de","recessies","De economie glijdt langzaam in een recessie."
"journalist","journalist","de","journalisten","De journalist onthulde een groot schandaal."
"redactie","editorial staff","de","redacties","De redactie controleert elk artikel zorgvuldig."
"artikel","article","het","artikelen","Het artikel staat op de voorpagina."
"bron","source","de","bronnen","De journalist beschermt zijn anonieme bron."
"interview","interview","het","interviews","Het interview met de minister was kritisch."
"opinie","opinion","de","opinies","De krant publiceert dagelijks een opinie."
"kwestie","issue","de","kwesties","Deze gevoelige kwestie verdeelt de samenleving."
"schandaal","scandal","het","schandalen","Het schandaal kostte de minister zijn baan."
"gerucht","rumour","het","geruchten","Het gerucht bleek uiteindelijk niet waar."
"feit","fact","het","feiten","De rechter baseert zich op de feiten."
"waarheid","truth","de","waarheden","De getuige vertelde de hele waarheid."
"leugen","lie","de","leugens","Zijn verhaal bleek een grote leugen."
"identiteit","identity","de","identiteiten","De identiteit van de dader is onbekend."
"integratie","integration","de","integraties","De integratie van nieuwkomers vraagt tijd."
"migratie","migration","de","migraties","De migratie naar de steden houdt aan."
"discriminatie","discrimination","de","discriminaties","Discriminatie op de werkvloer is verboden."
"ongelijkheid","inequality","de","ongelijkheden","De ongelijkheid tussen arm en rijk groeit."
"dreiging","threat","de","dreigingen","De dreiging van een aanslag bleef bestaan."
"conflict","conflict","het","conflicten","Het conflict tussen beide landen escaleerde."
"oorlog","war","de","oorlogen","De oorlog verwoestte de hele regio."
"slachtoffer","victim","het","slachtoffers","Het slachtoffer kreeg meteen medische hulp."
"dader","perpetrator","de","daders","De dader werd snel door de politie opgepakt."
"getuige","witness","de","getuigen","De getuige legde een belastende verklaring af."
"rechter","judge","de","rechters","De rechter sprak een streng vonnis uit."
"advocaat","lawyer","de","advocaten","De advocaat verdedigt zijn cliënt fel."
"rechtbank","court","de","rechtbanken","De zaak komt volgende week voor de rechtbank."
"rechtszaak","lawsuit","de","rechtszaken","De rechtszaak duurde meer dan een jaar."
"vonnis","verdict","het","vonnissen","Het vonnis viel zwaarder uit dan verwacht."
"straf","punishment","de","straffen","De rechter legde een hoge straf op."
"boete","fine","de","boetes","Hij kreeg een boete voor te snel rijden."
"gevangenis","prison","de","gevangenissen","De dader zit drie jaar in de gevangenis."
"misdaad","crime","de","misdaden","De misdaad werd snel opgelost."
"overtreding","offence","de","overtredingen","Voor deze overtreding krijg je een boete."
